Ref,Val,Package,PosX,PosY,Rot,Side
"0.1uF","0.1 uF","C_Disc_D3.4mm_W2.1mm_P2.50mm",121.920000,-48.895000,90.000000,top
"0.1uF","0.1 uF","C_Disc_D3.4mm_W2.1mm_P2.50mm",114.955000,-72.390000,0.000000,top
"0.1uF","0.1 uF","C_Disc_D3.4mm_W2.1mm_P2.50mm",128.270000,-48.875000,90.000000,top
"0.1uF","0.1 uF","C_Disc_D3.4mm_W2.1mm_P2.50mm",114.955000,-67.310000,0.000000,top
"2.2uF","2.2 uf","C_Disc_D3.4mm_W2.1mm_P2.50mm",132.735000,-46.355000,0.000000,top
"2.2uF","2.2 uf","C_Disc_D3.4mm_W2.1mm_P2.50mm",115.570000,-48.855000,90.000000,top
"10k Pot","10k-0","Potentiometer_Bourns_3386P_Vertical",147.955000,-46.355000,90.000000,top
"10k Pot","10k-0","Potentiometer_Bourns_3386P_Vertical",106.045000,-43.180000,180.000000,top
"33K","33k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",107.315000,-67.310000,0.000000,top
"33k","33k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",107.315000,-72.390000,0.000000,top
"33k","33k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",144.780000,-66.040000,180.000000,top
"33k","33k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",132.080000,-66.040000,0.000000,top
"74HC74","74HC74","DIP-14_W7.62mm",154.940000,-46.990000,0.000000,top
"555","NE555P","DIP-8_W7.62mm",109.230000,-53.340000,0.000000,top
"555","NE555P","DIP-8_W7.62mm",139.690000,-60.950000,180.000000,top
"Bhv1","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",114.280000,-77.770000,180.000000,top
"Bhv2","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",123.170000,-77.770000,180.000000,top
"Bhv3","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",132.060000,-77.770000,180.000000,top
"Bhv4","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",140.950000,-77.770000,180.000000,top
"Bhv5","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",149.840000,-77.770000,180.000000,top
"Bhv6","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",159.365000,-78.070000,180.000000,top
"Brain1","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",167.005000,-56.475000,90.000000,top
"Brain2","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",167.005000,-46.990000,90.000000,top
"J1","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",103.805000,-67.965000,-90.000000,top
"J2","Conn_01x03_Pin","JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",103.805000,-56.555000,-90.000000,top
"LM358","LM358","DIP-8_W7.62mm",143.520000,-53.985000,0.000000,top
"LM358","LM358","DIP-8_W7.62mm",120.650000,-63.500000,0.000000,top
"SW1","SW_DIP_x02","SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm",123.190000,-59.690000,90.000000,top
"Strb1","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",167.005000,-75.652000,90.000000,top
"Strb2","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",167.005000,-66.655000,90.000000,top
