"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1,Brain1,Bhv5,Bhv3,Strb2,Bhv6,Bhv4,Strb1,Bhv2,Brain2,Bhv1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";11;"Conn_01x02_Pin";;;
2;"0.1uF,0.1uF,0.1uF,0.1uF";"C_Disc_D3.4mm_W2.1mm_P2.50mm";4;"0.1 uF";;;
3;"SW1";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"SW_DIP_x02";;;
4;"33k,33k,33K,33k";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";4;"33k";;;
5;"555,555";"DIP-8_W7.62mm";2;"NE555P";;;
6;"LM358,LM358";"DIP-8_W7.62mm";2;"LM358";;;
7;"10k Pot,10k Pot";"Potentiometer_Bourns_3386P_Vertical";2;"10k-0";;;
8;"2.2uF,2.2uF";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"2.2 uf";;;
9;"J2";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03_Pin";;;
10;"74HC74";"DIP-14_W7.62mm";1;"74HC74";;;
